date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-04-09 13:17:07,NASDAQODUK,,0,0,0,"$VNDA - Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book http://uk.advfn.com/news/PRNUS/2015/article/66305484?xref=newsalerttweet&amp;adw=1126416",,,,586155884499304448,https://twitter.com/NASDAQODUK/status/586155884499304448
2015-04-09 13:17:07,GapupSmith,,0,0,0,"$VNDA - Vanda Announces Listing of a New Fanapt® Patent in the FDA Orange Book http://uk.advfn.com/news/PRNUS/2015/article/66305484?xref=newsalerttweet&amp;adw=1126416",,,,586155882641231873,https://twitter.com/GapupSmith/status/586155882641231873
2015-04-09 13:16:08,siddarthchada,,0,0,0,"RT @BioRunUp $VNDA Announces Listing of a New Fanapt® Patent in the FDA Orange Book",,@BioRunUp,,586155635126874113,https://twitter.com/siddarthchada/status/586155635126874113
2015-04-09 13:15:22,BioRunUp,,0,1,0,"$VNDA Announces Listing of a New Fanapt® Patent in the FDA Orange Book",,,,586155443069681664,https://twitter.com/BioRunUp/status/586155443069681664
2015-03-29 01:38:54,WellnessHeal,,0,0,0,"Tumblr - AddToAny - Germanwings pilot andNewtown school shooter needed nutrition, not drugs like Fanapt... http://tmblr.co/ZRqwox1h08yfj",,,,581993906121891840,https://twitter.com/WellnessHeal/status/581993906121891840
2015-03-29 01:36:53,WellnessHeal,,0,0,0,"Newtown school shooter and #germanwings pilot needed nutrition, not drugs like Fanapt from Novartis http://www.naturalnews.com/038415_school_shootings_nutrition_psychiatric_drugs.html via @HealthRanger",,@HealthRanger,#germanwings,581993395955974144,https://twitter.com/WellnessHeal/status/581993395955974144
2015-03-29 01:36:14,WellnessHeal,,0,0,0,"Newtown school shooter and #Germanpilot needed nutrition, not drugs like Fanapt from Novartis http://www.naturalnews.com/038415_school_shootings_nutrition_psychiatric_drugs.html via @HealthRanger",,@HealthRanger,#Germanpilot,581993235851120640,https://twitter.com/WellnessHeal/status/581993235851120640
2015-03-24 08:57:00,transknition,,0,0,0,"Fanapt verdict: hell no! http://wp.me/p5F8PB-9W",,,,580292215546613762,https://twitter.com/transknition/status/580292215546613762
2015-03-18 20:00:35,WyFanInVa,,0,0,0,"Honey, please, they have meds 4 that #clozapine #fanapt #latuda #invega one for each i.d. #ConsumeStat #ThanksLove",,,#clozapine #fanapt #latuda #invega #ConsumeStat #ThanksLove,578284886018117632,https://twitter.com/WyFanInVa/status/578284886018117632
2015-03-14 04:29:43,transknition,,0,0,0,"Fanapt, day five http://wp.me/p5F8PB-9Q",,,,576601075114889216,https://twitter.com/transknition/status/576601075114889216
